"codigo_oms","nombre_ingles","nombre_espanol","codigos_cie10"
"CG1099","Other circulatory diseases","Otras enfermedades circulatorias","I00, I26-I28, I34-I37, I44-I45, I47 (excepto I47.2), I48, I49 (excepto I49.0), I51.0-I51.3, I51.7-I51.8, I70 (excepto I70.9), I71-I99"
"CG1110","Respiratory diseases","Enfermedades respiratorias","J30-J98"
"CG1120","Chronic obstructive pulmonary disease","Enfermedad pulmonar obstructiva crónica (EPOC)","J40-J44"
"CG1130","Asthma","Asma","J45-J46"
"CG1140","Other respiratory diseases","Otras enfermedades respiratorias","J30-J39, J47-J98"
"CG1150","Digestive diseases","Enfermedades digestivas","K20-K92"
"CG1160","Peptic ulcer disease","Úlcera péptica","K25-K27"
"CG1170","Cirrhosis of the liver","Cirrosis hepática","K70, K74"
"CG1180","Appendicitis","Apendicitis","K35-K37"
"CG1181","Gastritis and duodenitis","Gastritis y duodenitis","K29"
"CG1182","Paralytic ileus and intestinal obstruction","Íleo paralítico y obstrucción intestinal","K56"
"CG1183","Inflammatory bowel disease","Enfermedad inflamatoria intestinal","K50-K52, K580"
"CG1184","Gallbladder and biliary diseases","Enfermedades de la vesícula biliar y vías biliares","K80-K83"
"CG1185","Pancreatitis","Pancreatitis","K85-K86"
"CG1190","Other digestive diseases","Otras enfermedades digestivas","K20-K22, K28, K30-K31, K38, K40-K46, K55, K57, K589, K59-K66, K71-K73, K75-K76, K90-K92"
"CG1200","Genitourinary diseases","Enfermedades genitourinarias","N00-N64, N75-N98"
"CG1210","Nephritis and nephrosis","Nefritis y nefrosis","N00-N19"
"CG1220","Benign prostatic hypertrophy","Hipertrofia benigna de próstata","N40"
"CG1230","Other genitourinary system diseases","Otras enfermedades del sistema genitourinario","N20-N39, N41-N64, N75-N98"
"CG1240","Skin diseases","Enfermedades de la piel","L00-L98"
"CG1250","Musculoskeletal diseases","Enfermedades musculoesqueléticas","M00-M99"
"CG1260","Rheumatoid arthritis","Artritis reumatoide","M05-M06"
"CG1270","Osteoarthritis","Osteoartritis","M15-M19"
"CG1280","Gout","Gota","M10"
"CG1290","Back pain","Dolor de espalda","M45-M48, M54 (excepto M54.2)"
"CG1300","Other musculoskeletal disorders","Otros trastornos musculoesqueléticos","M00-M02, M08, M11-M13, M20-M43, M50-M53, M54.2, M55-M99"
"CG1310","Congenital anomalies","Anomalías congénitas","Q00-Q99"
"CG1320","Abdominal wall defect","Defecto de la pared abdominal","Q79.2-Q79.5"
"CG1330","Anencephaly","Anencefalia","Q00"
"CG1340","Anorectal atresia","Atresia anorrectal","Q42"
"CG1350","Cleft lip","Labio leporino","Q36"
"CG1360","Cleft palate","Paladar hendido","Q35, Q37"
"CG1370","Oesophageal atresia","Atresia esofágica","Q39.0-Q39.1"
"CG1380","Renal agenesis","Agenesia renal","Q60"
"CG1390","Down syndrome","Síndrome de Down","Q90"
"CG1400","Congenital heart anomalies","Anomalías congénitas del corazón","Q20-Q28"
"CG1410","Spina bifida","Espina bífida","Q05"
"CG1420","Other Congenital anomalies","Otras anomalías congénitas","Q01-Q04, Q06-Q18, Q30-Q34, Q38, Q392-Q399, Q40-Q41, Q43-Q56, Q61-Q78, Q790, Q791, Q796, Q798, Q799, Q80-Q89, Q91-Q99"
"CG1430","Oral conditions","Afecciones bucales","K00-K14"
"CG1440","Dental caries","Caries dental","K02"
"CG1450","Periodontal disease","Enfermedad periodontal","K05"
"CG1460","Edentulism","Edentulismo","-"
"CG1470","Other oral diseases","Otras enfermedades bucales","K00, K01, K03, K04, K06-K14"
"CG1475","Sudden infant death syndrome","Síndrome de muerte súbita del lactante","R95"
"CG1480","Injuries","Traumatismos","V01-Y89 (excepto X41-X42, X44-X45), U12.9"
"CG1490","Unintentional injuries","Traumatismos no intencionales","V01-X59, Y40-Y86, Y88, Y89 (excepto X41-X42, X44-X45), U12.9"
"CG1500","Road traffic accidents","Accidentes de tráfico","V01-V04, V06 (.1-.9), V09 (.2-.3), V10-V14 (.3-.9), V15-V19 (.4-.9), V20-V28 (.3-.9), V29-V79 (.4-.9), V80 (.3-.5), V81.1, V82 (.1, .8-.9), V83-V86 (.0-.3), V87 (.0-.9), V89 (.2-.3, .9), V99, Y85.0"
"CG1510","Poisonings","Intoxicaciones","X40, X43, X46-X49"
"CG1520","Falls","Caídas","W00-W19"
"CG1530","Fires","Incendios","X00-X09"
"CG1540","Drownings","Ahogamiento","W65-W74"
"CG1541","Exposure to mechanical forces","Exposición a fuerzas mecánicas","W20-W38, W40-W43, W45, W46, W49-W52, W75, W76"
"CG1542","Natural disasters","Desastres naturales","X33-X39"
"CG1550","Other unintentional injuries","Otros traumatismos no intencionales","Resto de V, W39, W44, W53-W64, W77-W99, X10-X32, X50-X59, Y40-Y84, Y859, Y86, Y88-Y89, U12.9"
"CG1560","Intentional injuries","Traumatismos intencionales","X60-Y09, Y35-Y36, Y870, Y871"
"CG1570","Self-inflicted injuries","Lesiones autoinfligidas","X60-X84, Y870"
"CG1580","Violence","Violencia","X85-Y09, Y871"
"CG1590","War","Guerra","Y36"
"CG1600","Other intentional injuries","Otras lesiones intencionales","Y35"
"CG1605","Ill-defined injuries/accidents","Traumatismos e incidentes mal definidos","Y10-Y34, Y872"
"CG1610","Ill-defined diseases","Enfermedades mal definidas","R00-R94, R96-R99"
